sentence	Language	label_name	Annotator	label_ID
Such a bill had seemed improbable for many in Washington not that long ago, even as public opinion on same-sex marriage has continued to shift over the years: 68% of Americans supported same-sex marriage in 2021, up 14 percentage points from 2014, according to surveys from the nonprofit, nonpartisan Public Religious Research Institute.	en	Health and Safety	G01384408	9.0
Those words Ð which Biden insisted in subsequent years were unplanned Ð marked a stunning personal evolution for the longtime creature of Washington, who as senator had voted to block federal recognition of same-sex marriages and previously insisted that marriage should only take place between a man and a woman.	en	Quality of Life	G01384408	10.0
ÒAs you saw there was pretty good bipartisan support in the House yesterday and I expect thereÕd probably be the same thing youÕd see in the Senate,Ó he said.	en	Public Sentiment	G01384408	12.0
About half of those with a high school diploma or less (51%) say same-sex marriage is very good (26%) or somewhat good (25%) for society, with 45% saying it is somewhat bad (20%) or very bad (24%).	en	Public Sentiment	G01384408	12.0
While partisan divides are evident regardless of AmericansÕ age and educational background, these differences are more modest among younger adults than older people.	en	Public Sentiment	G01384408	12.0
Younger Republicans express much more positive views of same-sex marriage than older Republicans, but age differences among Democrats are less pronounced.	en	Public Sentiment	G01384408	12.0
Educational differences are somewhat wider among Democrats than among Republicans.	en	Public Sentiment	G01384408	12.0
Even high-profile Democrats like former President Barack Obama were hesitant to share their support for same-sex marriage Ñ although Obama did eventually become the first president to do so.	en	Cultural Identity	G01384408	11.0
While support for same-sex marriage has grown steadily across generational cohorts in the last 15 years, there are still sizable age gaps.	en	Public Sentiment	G01384408	12.0
For instance, 45% of adults in the Silent Generation (those born between 1928 and 1945) favor allowing gays and lesbians to wed, compared with 74% of Millennials (born between 1981 and 1996).	en	Public Sentiment	G01384408	12.0
Surveys conducted by Gallup in 2017 find that about one-in-ten LGBT Americans (10.2%) are married to a same-sex partner, up from the months before the high court decision (7.9%).	en	Quality of Life	G01384408	10.0
The new survey Ð which was fielded in October, before the midterm elections Ð comes as some have questioned whether same-sex marriage will remain legal nationally following the Supreme CourtÕs June decision to overturn Roe v. Wade, turning abortion laws back to the states.	en	Legality, Constitutionality, Jurisdiction	G01384408	5.0
Pew Research Center asked this question to track public views about the legal status of same-sex marriage.	en	Legality, Constitutionality, Jurisdiction	G01384408	5.0
It mandates that states honor the validity of out-of-state marriage licenses, including same-sex and interracial unions.	en	Legality, Constitutionality, Jurisdiction	G01384408	5.0
ÒThe pursuit of happiness means you can love whom you choose,Ó he said, adding: ÒI am shocked that conservatives that have a libertarian bent believe that somehow we ought to get involved in this.	en	Morality	G01384408	3.0
It clarified that religious organizations wouldnÕt be required to perform same-sex marriages and that the government would not be forced to protect polygamous marriages.	en	Fairness and Equality	G01384408	4.0
The House on Tuesday passed legislation to codify same-sex marriage nationwide and strengthen other marriage-equality protections, in a direct reaction to the Supreme Court's recent ruling that overturned long-standing federal abortion rights.	en	Fairness and Equality	G01384408	4.0
In one view, the purpose of marriage is to ensure successful procreation and child rearing.	en	Morality	G01384408	3.0
